Index	Word	Theme	Definition
0	PARIS	0	Capital of France
1	APPLE	1	Green fruit in the shape of ball
2	LONDON	0	Capital of Great-Britain
3	BRUSSELS	0	Capital of Belgium
4	KATMANDU	0	Capital of Nepal
5	ULAN BATOR	0	Capital of Mongolia
6	BEIJING	0	Capital of China
7	TOKYO	0	Capital of Japan
8	NEW DELHI	0	Capital of India
9	ROMA	0	Capital of Italia
10	MADRID	0	Capital of Spain
11	DUBLIN	0	Capital of Ireland
12	CAIRO	0	Capital of Egypt
13	WASHINGTON DC	0	Capital of United States of America
14	MEXICO CITY	0	Capital of Mexico
15	MOSCOW	0	Capital of Russia
16	OTTAWA	0	Capital of Canada
17	RABAT	0	Capital of Morocco
18	COLOMBO	0	Capital of Sri Lanka
19	HANOI	0	Capital of Vietnam
20	BANGKOK	0	Capital of Thailand
21	DACCA	0	Capital of Bangladesh
22	ISLAMABAD	0	Capital of Pakistan
23	KABUL	0	Capital of Afghanistan
24	BUENOS AIRES	0	Capital of Argentina
25	FRANCE	2	Continent : Europe
26	ITALIA	2	Continent : Europe
27	SPAIN	2	Continent : Europe
28	GREAT BRITAIN	2	Continent : Europe
29	BELGIUM	2	Continent : Europe
30	GERMANY	2	Continent : Europe
31	BERLIN	2	Capital of Germany
32	IRELAND	2	Continent : Europe
33	RUSSIA	2	Continent : Asia
34	NEPAL	2	Continent : Asia
35	JAPAN	2	Continent : Asia
36	CHINA	2	Continent : Asia
37	MONGOLIA	2	Continent : Asia
38	INDIA	2	Continent : Asia
39	PAKISTAN	2	Continent : Asia
40	THAILAND	2	Continent : Asia
41	BANGLADESH	2	Continent : Asia
42	VIETNAM	2	Continent : Asia
43	UNITED STATES	2	Continent : America
44	MEXICO	2	Continent : America
45	ARGENTINA	2	Continent : America
46	RICE	1	Cereal
47	WATER	1	Liquid
48	BLACK	4	कालो
49	WHITE	4	सेतो
50	BLUE	4	नीलो
51	GREEN	4	हरियो
52	YELLOW	4	पहेंलो
53	PURPLE	4	बैजनी
54	RED	4	रातो
55	ORANGE	4	सुन्तला
56	BROWN	4	खैरो
57	PINK	4	गुलाबी
